content_id,snapshot_date,views,likes,comments,shares,saves,ctr,conversions,revenue
ct1,2025-03-12,42000,3100,210,180,420,0.021,38,760
ct1,2025-04-05,58000,4200,290,240,560,0.021,52,1040
ct2,2025-05-17,91000,9800,640,910,1500,0.034,120,2400
ct2,2025-06-10,110000,11500,780,1080,1800,0.034,145,2900
ct3,2025-03-15,30000,1800,140,90,210,0.014,20,400
ct3,2025-04-08,36000,2100,160,110,250,0.014,24,480
ct4,2025-04-09,25000,1400,110,70,150,0.011,15,300
ct5,2025-03-19,48000,3600,260,230,510,0.022,44,880
ct5,2025-04-12,63000,4700,330,300,650,0.022,58,1160
ct6,2025-05-21,88000,9200,610,860,1420,0.032,110,2200
ct6,2025-06-14,105000,10800,730,1000,1680,0.032,130,2600
ct7,2025-06-08,21000,1500,95,80,180,0.016,18,360
ct8,2025-06-12,150000,21000,1400,3200,2100,0.028,60,1200
ct9,2025-05-25,76000,8100,520,760,1250,0.030,95,1900
ct9,2025-06-18,89000,9400,600,860,1420,0.030,108,2160
ct10,2025-04-27,33000,2200,170,120,290,0.015,26,520
ct11,2025-03-27,39000,2900,190,170,380,0.020,34,680
ct12,2025-05-29,82000,8700,560,800,1330,0.031,101,2020
